id_vinho;fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality;Vinho
75;7,1;0,21;0,3;1,4;0,037;45;143;0,9932;3,13;0,33;9,9;6;WHITE
76;9,1;0,25;0,34;2;0,071;45;67;0,99769;3,44;0,86;10,2;7;RED
77;10,9;0,39;0,47;1,8;0,118;6;14;0,9982;3,3;0,75;9,8;6;RED
78;5,2;0,16;0,34;0,8;0,029;26;77;0,99155;3,25;0,51;10,1;6;WHITE
79;6,9;0,33;0,62;7,5;0,038;46;132;0,99143;3,23;0,43;13,4;7;WHITE
80;6,8;0,26;0,29;16,95;0,056;48;179;0,9998;3,45;0,4;9,6;5;WHITE
81;6,5;0,3;0,27;4;0,038;37;97;0,99026;3,2;0,6;12,6;8;WHITE
82;6,4;0,16;0,28;2,2;0,042;33;93;0,9914;3,31;0,43;11,1;6;WHITE
83;12,8;0,615;0,66;5,8;0,083;7;42;1,0022;3,07;0,73;10;7;RED
84;11,6;0,42;0,53;3,3;0,105;33;98;1,001;3,2;0,95;9,2;5;RED
85;8,1;0,785;0,52;2;0,122;37;153;0,9969;3,21;0,69;9,3;5;RED
86;7,8;0,7;0,06;1,9;0,079;20;35;0,99628;3,4;0,69;10,9;5;RED
87;6,2;0,36;0,27;3,2;0,032;13;73;0,98942;2,9;0,69;12,6;7;WHITE
88;7,2;0,51;0,24;10;0,093;35;197;0,9981;3,41;0,47;9;5;WHITE
89;9,1;0,68;0,11;2,8;0,093;11;44;0,99888;3,31;0,55;9,5;6;RED
90;7,8;0,16;0,41;1,7;0,026;29;140;0,991;3,02;0,78;12,5;6;WHITE
91;10,8;0,4;0,41;2,2;0,084;7;17;0,9984;3,08;0,67;9,3;6;RED
92;6,2;0,37;0,22;8,3;0,025;36;216;0,9964;3,33;0,6;9,6;6;WHITE
93;7,5;0,32;0,49;1,7;0,031;44;109;0,9906;3,07;0,46;12,5;6;WHITE
94;6,4;0,125;0,29;5,85;0,042;24;99;0,992;3,23;0,32;12;7;WHITE
95;7,5;0,18;0,31;11,7;0,051;24;94;0,997;3,19;0,44;9,5;7;WHITE
96;5,4;0,45;0,27;6,4;0,033;20;102;0,98944;3,22;0,27;13,4;8;WHITE
97;7,1;0,31;0,25;11,2;0,048;32;136;0,99663;3,14;0,4;9,5;5;WHITE
98;6;0,52;0,33;7,7;0,046;24;119;0,99224;3,04;0,38;11;6;WHITE
99;6,3;0,23;0,3;1,8;0,033;16;91;0,9906;3,28;0,4;11,8;6;WHITE
